 
Players
Name,# Times Picked
Snchez,4
Costa,4
Capoue,4
de Gea,4
Alonso,3
Hazard,3
Defoe,3
Stones,3
Mandanda,3
Allen,3
Bellern,2
Ibrahimovic,2
Foster,2
Henderson,2
Man,2
Azpilicueta,2
Smith,2
Lallana,2
Walker,2
Austin,2
Kane,2
McAuley,2
Pickford,1
Carter-Vickers,1
Bertrand,1
Barry,1
Rondn,1
Daniels,1
Brunt,1
Holebas,1
Payet,1
Heaton,1
Fer,1
Mata,1
Valencia,1
Jakupovic,1
Koscielny,1
van der Hoorn,1
Vertonghen,1
McArthur,1
Iheanacho,1
Amat,1
Musa,1
Fonte,1
Ighalo,1
Grabban,1
Cook,1
zil,1
Lukaku,1
Jones,1
Lanzini,1
Firmino,1
Negredo,1
Coutinho,1
Keane,1
De Bruyne,1
Origi,1
Clyne,1
Eriksen,1
Evans,1
Mustafi,1
Son,1
Lloris,1
Fernandinho,1
Fletcher,1
Lovren,1
Courtois,1
Darmian,1
Antonio,1
