Name,Num
Agero,8
de Gea,8
Ibrahimovic,7
Stones,6
Kant,6
Long,5
Walker,5
Morgan,5
Vardy,5
Firmino,4
Coutinho,4
Bailly,4
Azpilicueta,4
Jakupovic,4
Alderweireld,4
Fletcher,4
McAuley,4
Man,4
Redmond,3
Fuchs,3
Bellern,3
Paredes,3
Sagna,3
Willian,3
Capoue,3
van Dijk,3
Mahrez,3
Payet,3
Smith,2
Boruc,2
Amat,2
Eriksen,2
Mandanda,2
Foster,2
Townsend,2
Gray,2
Taylor,2
Kane,2
Tadic,2
Pieters,2
zil,2
Kouyat,2
Cech,2
Martial,2
Alli,2
Williams,2
Friend,2
Mata,1
Shaw,1
Valds,1
Coquelin,1
Kolarov,1
Carrick,1
Pocognoli,1
Forster,1
San,1
Nolito,1
Negredo,1
Hjbjerg,1
Lovren,1
Musa,1
Randall,1
Cabaye,1
Barkley,1
Heaton,1
Moreno,1
Giroud,1
Wickham,1
Pickford,1
Rooney,1
Schmeichel,1
Baines,1
Fry,1
Hennessey,1
Vertonghen,1
Hazard,1
Grabban,1
Shaqiri,1
Bolasie,1
Pogba,1
Lingard,1
Janssen,1
Origi,1
Carroll,1
Smalling,1
Gudmundsson,1
Llorente,1
Lukaku,1
Mannone,1
Zaha,1
Valencia,1
Mendy,1
Drinkwater,1
Lamela,1
Butland,1
Costa,1
Defoe,1
Wijnaldum,1
